"class","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"a",-0.75926,-0.65079,78.1025,0.87606,42.0,0.0,1.0,198.36558,5.63211,7.57776,4.01448,1.42578,625.0
"a",0.0,-1.0,85.79627,0.85964,46.38965,0.12934,0.9916,212.33099,6.52816,8.67074,3.7555,0.89778,843.0
"a",-0.91381,-0.40614,113.17243,0.7604,48.27007,0.22788,0.97369,282.70069,5.42102,5.5405,2.1354,1.75781,828.0
"a",-0.97014,-0.24254,111.8034,0.82335,74.33034,0.18835,0.9821,301.36545,5.03414,7.28191,2.43228,1.89453,688.0
"a",-0.8,-0.6,104.80458,0.8394,70.34913,0.0995,0.99504,271.79532,5.69518,6.9131,2.24963,1.45778,765.0
"a",-0.85749,-0.5145,122.28655,0.88967,83.02409,-0.02409,0.99971,309.40483,5.91601,6.21122,2.28012,1.28444,703.0
"a",-0.83205,-0.5547,94.76286,0.80032,58.0,0.0,1.0,244.89975,7.06858,8.91792,4.70283,1.45703,797.0
"a",-0.50387,-0.86378,118.08895,0.79139,46.57252,0.25766,0.96624,318.71034,7.93712,8.90778,3.81091,1.45778,781.0
"a",-0.89443,-0.44721,80.62258,0.80294,55.36244,0.34319,0.93926,228.92017,7.24844,10.51426,5.21601,0.80444,844.0
"a",0.0,-1.0,113.37107,0.5268,39.31921,0.99188,0.12716,304.54697,10.47643,14.83611,8.66626,1.73828,1015.0
"a",-0.5145,-0.85749,147.43473,0.66521,36.79674,0.73376,0.67941,424.82499,7.85398,13.2053,6.58009,1.87111,954.0
"a",-0.5547,-0.83205,89.10668,0.76953,34.17601,0.35112,0.93633,213.67153,6.74683,9.31525,4.14997,0.89453,890.0
"a",-0.64018,-0.76822,177.59786,0.82124,61.7414,0.42111,0.90701,497.79616,10.21018,11.15116,4.3006,3.30078,937.0
"a",-0.85749,-0.5145,102.41582,0.94487,81.32035,0.28283,0.95917,212.98576,6.48058,10.70002,5.17692,4.12444,843.0
"a",-1.0,0.0,79.02531,0.66881,42.95346,0.20953,0.9778,191.38668,5.38713,6.4575,1.94886,0.79111,735.0
"a",-0.44721,-0.89443,120.21647,0.79716,87.66413,0.43347,0.90117,325.18114,6.92669,9.66669,5.72224,2.10156,969.0
"a",-0.98058,-0.19612,106.21676,0.73212,70.34202,0.25589,0.96671,271.58705,5.17604,7.24184,2.74412,2.55078,703.0
"a",-0.94868,-0.31623,114.97826,0.8716,80.00625,0.0125,0.99992,292.02992,5.81954,6.54388,2.22913,1.28444,860.0
"a",-0.6247,-0.78087,97.08244,0.96851,51.0392,0.03919,0.99923,256.57453,5.73034,6.26528,2.25992,1.75391,703.0
"a",-0.83205,-0.5547,83.60024,0.64111,44.91102,0.2004,0.97972,214.6618,6.28319,8.25457,3.72431,0.85156,828.0
"b",0.0,1.0,105.10947,1.20089,94.08507,0.04251,0.9991,229.74028,-4.71239,7.43926,3.50319,1.0,906.0
"b",0.0,1.0,79.17702,1.08455,66.1211,0.0605,0.99817,170.30937,-4.71239,7.53495,5.08507,0.76563,953.0
"b",0.0,1.0,110.67972,0.96525,85.0,0.0,1.0,262.84965,-5.49779,6.90548,2.47673,1.56641,781.0
"b",0.0,1.0,145.7738,1.18392,132.2422,-0.0605,0.99817,302.8615,-5.03414,5.63667,1.83711,2.56,609.0
"b",0.0,1.0,119.40268,1.1934,105.0,0.0,1.0,246.58638,-5.49779,7.096,2.91998,6.12444,688.0
"b",0.1644,0.98639,121.24768,0.95534,91.00549,-0.20878,0.97796,270.33599,-6.44833,8.42463,3.69691,1.44,656.0
"b",0.0,1.0,96.51943,0.97705,68.26419,-0.08789,0.99613,225.48953,-5.17604,6.86135,2.45557,0.94531,719.0
"b",0.0,1.0,71.55418,1.10715,57.0,0.0,1.0,138.63794,-5.60844,9.34172,5.18872,0.67578,860.0
"b",0.44721,0.89443,89.04493,1.00148,69.64194,0.27282,0.96206,181.80323,-4.71239,7.86129,3.33727,1.14453,750.0
"b",0.5547,-0.83205,259.42244,1.08991,148.21943,0.80961,-0.58697,620.33359,8.96113,12.90112,5.68905,4.63281,1109.0
"b",0.89443,-0.44721,207.61744,1.18045,89.94443,0.87832,-0.47807,488.06094,7.06858,13.09905,7.74586,4.0625,1110.0
"b",0.0,1.0,115.0,0.9273,87.09191,0.04593,0.99894,290.64988,-4.71239,6.47181,2.15823,2.57778,813.0
"b",-0.12403,0.99228,196.42047,1.0068,166.02711,0.01807,0.99984,436.49933,6.49428,7.60571,2.43389,3.02222,765.0
"b",0.0,1.0,126.26955,1.05754,106.73331,0.22486,0.97439,254.35999,-6.28319,8.18247,3.6206,2.20703,765.0
"b",0.0,1.0,98.83825,1.0981,87.09191,-0.04593,0.99894,228.07097,-4.71239,9.98237,5.42274,1.77778,907.0
"b",0.0,1.0,97.09789,1.00565,77.10383,0.05188,0.99865,227.03667,-5.17604,7.14118,3.48391,1.26953,813.0
"b",0.0,1.0,111.8034,1.10715,93.0,0.0,1.0,246.72686,-5.49779,6.11415,2.3936,0.91406,750.0
"b",0.44721,0.89443,113.85078,0.89743,72.1734,0.06928,0.9976,290.54788,-5.49779,9.35727,4.00857,1.62222,719.0
"b",0.0,1.0,120.41595,1.01044,84.00595,0.0119,0.99993,307.12641,-4.24874,8.20997,3.58015,1.60444,719.0
"b",0.0,1.0,99.04544,0.95759,65.06919,0.0461,0.99894,297.36272,-5.49779,6.78479,2.81117,5.44,703.0
"c",-0.70711,-0.70711,89.05055,0.96099,58.5235,0.29048,0.95688,140.23965,3.66074,7.15352,4.02666,1.44444,406.0
"c",-0.5547,-0.83205,96.25487,1.00008,61.13101,-0.26173,0.96514,152.87079,4.24874,4.24874,1.60934,1.58203,328.0
"c",-0.70711,-0.70711,84.38009,1.02225,63.95311,-0.172,0.9851,127.99792,3.85022,5.38593,2.22696,0.69531,359.0
"c",-0.70711,-0.70711,77.80103,0.92215,50.48762,0.13865,0.99034,134.27348,4.71239,6.23137,3.40686,0.87891,453.0
